Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","P01033","54","GC0XP057483","39.5792999267578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"ALB","Albumin","Protein Coding","P02768","58","GC04P073397","39.0703964233398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"AGT","Angiotensinogen","Protein Coding","P01019","58","GC01M230690","38.4361343383789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"TIMP2","TIMP Metallopeptidase Inhibitor 2","Protein Coding","P16035","50","GC17M078852","38.3708992004395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2"
"TAB2","TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 2","Protein Coding","Q9NYJ8","58","GC06P149218","38.3699073791504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAB2"
"MIR145","MicroRNA 145","RNA Gene","","30","GC05P149430","37.2821578979492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"ENG","Endoglin","Protein Coding","P17813","56","GC09M127815","37.0149345397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"MIR126","MicroRNA 126","RNA Gene","","29","GC09P136670","36.8721771240234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","P30556","60","GC03P148697","36.5472259521484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"MMP12","Matrix Metallopeptidase 12","Protein Coding","P39900","55","GC11M102862","36.3759765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP12"
"MIR122","MicroRNA 122","RNA Gene","","29","GC18P058451","36.2401580810547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","59","GC07P101127","36.2157363891602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"TBX20","T-Box Transcription Factor 20","Protein Coding","Q9UMR3","51","GC07M035237","35.9767379760742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX20"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","P03956","59","GC11M126178","35.2668838500977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","P10451","54","GC04P087975","35.0036087036133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"IFNG","Interferon Gamma","Protein Coding","P01579","59","GC12M068154","34.5562324523926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","58","GC17P034255","34.5371055603027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"REN","Renin","Protein Coding","P00797","58","GC01M204154","34.5141906738281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","P08246","60","GC19P111819","34.1317024230957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"TGFBR3","Transforming Growth Factor Beta Receptor 3","Protein Coding","Q03167","54","GC01M091680","34.0535278320313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR3"
"GATA6","GATA Binding Protein 6","Protein Coding","Q92908","55","GC18P022169","33.8604507446289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA6"
"MIR17","MicroRNA 17","RNA Gene","","26","GC13P091350","33.6076393127441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"LOC107988032","Xq28 Proximal FLNA-EMD Recombination Region","Functional Element","","10","GC0XP154335","33.0791854858398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107988032"
"DSG1","Desmoglein 1","Protein Coding","Q02413","51","GC18P031318","32.9997177124023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSG1"
"MT-ATP6","Mitochondrially Encoded ATP Synthase Membrane Subunit 6","Protein Coding","P00846","41","GCMTP008531","32.7853584289551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP6"
"DSP","Desmoplakin","Protein Coding","P15924","59","GC06P007541","32.3409118652344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSP"
"MMP13","Matrix Metallopeptidase 13","Protein Coding","P45452","59","GC11M102942","32.1789474487305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP13"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","P13726","54","GC01M094873","32.1027793884277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"SOS1","SOS Ras/Rac Guanine Nucleotide Exchange Factor 1","Protein Coding","Q07889","60","GC02M039266","32.0931091308594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOS1"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","P19438","59","GC12M006328","32.0659446716309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"TNFRSF11B","TNF Receptor Superfamily Member 11b","Protein Coding","O00300","56","GC08M118923","31.8974189758301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B"
"F2","Coagulation Factor II, Thrombin","Protein Coding","P00734","59","GC11P047736","31.2196807861328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"LOC126859827","BRD4-Independent Group 4 Enhancer GRCh37_chr6:149699707-149700906","Functional Element","","9","GC06P149378","30.6974716186523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126859827"
"TLR4","Toll Like Receptor 4","Protein Coding","O00206","60","GC09P117704","30.3183288574219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"COL1A2","Collagen Type I Alpha 2 Chain","Protein Coding","P08123","56","GC07P094394","30.1996994018555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2"
"MT-ATP8","Mitochondrially Encoded ATP Synthase Membrane Subunit 8","Protein Coding","P03928","38","GCMTP008368","29.9866600036621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP8"
"MIR29B1","MicroRNA 29b-1","RNA Gene","","28","GC07M130877","29.9279022216797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B1"
"MIR199A1","MicroRNA 199a-1","RNA Gene","","26","GC19M010817","29.8796157836914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A1"
"PKD1","Polycystin 1, Transient Receptor Potential Channel Interacting","Protein Coding","P98161","54","GC16M020311","29.4883003234863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD1"
"MIR125A","MicroRNA 125a","RNA Gene","","29","GC19P113552","29.3305549621582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"CST3","Cystatin C","Protein Coding","P01034","53","GC20M023930","29.2421493530273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"PKD2","Polycystin 2, Transient Receptor Potential Cation Channel","Protein Coding","Q13563","57","GC04P088007","29.0789070129395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD2"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","P01889","54","GC06M093738","29.0408248901367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"VWF","Von Willebrand Factor","Protein Coding","P04275","56","GC12M029229","29.0010261535645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"TAGLN","Transgelin","Protein Coding","Q01995","52","GC11P117199","28.9514694213867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAGLN"
"TBX1","T-Box Transcription Factor 1","Protein Coding","O43435","52","GC22P069920","28.8876571655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX1"
"APOB","Apolipoprotein B","Protein Coding","P04114","55","GC02M020956","28.8823127746582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"MIR195","MicroRNA 195","RNA Gene","","26","GC17M074818","28.7135581970215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","62","GC07M140773","28.6010417938232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"LINC00540","Long Intergenic Non-Protein Coding RNA 540","RNA Gene","","22","GC13P021974","28.5816345214844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00540"
"LTBP4","Latent Transforming Growth Factor Beta Binding Protein 4","Protein Coding","Q8N2S1","51","GC19P040592","28.2080879211426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP4"
"MIR191","MicroRNA 191","RNA Gene","","29","GC03M053710","28.1797161102295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","P19320","55","GC01P100719","28.0868625640869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"MMP8","Matrix Metallopeptidase 8","Protein Coding","P22894","56","GC11M126172","27.6831474304199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP8"
"PLAT","Plasminogen Activator, Tissue Type","Protein Coding","P00750","58","GC08M042174","27.3946495056152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","P05362","59","GC19P112296","27.3214893341064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"LTBP3","Latent Transforming Growth Factor Beta Binding Protein 3","Protein Coding","Q9NS15","52","GC11M065538","27.1375122070313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP3"
"MIR15A","MicroRNA 15a","RNA Gene","","23","GC13M050049","26.9936370849609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"EDN1","Endothelin 1","Protein Coding","P05305","58","GC06P012236","26.9758243560791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","53","GC04P073740","26.7670516967773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"MYOCD","Myocardin","Protein Coding","Q8IZQ8","53","GC17P012665","26.6525707244873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOCD"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","19","GC08P056323","26.3251876831055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"NPPB","Natriuretic Peptide B","Protein Coding","P16860","52","GC01M014525","25.9074382781982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB"
"LOC126863275","BRD4-Independent Group 4 Enhancer GRCh37_chrX:70342400-70343599","Functional Element","","7","GC0XP071122","25.8266105651855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126863275"
"MMP14","Matrix Metallopeptidase 14","Protein Coding","P50281","59","GC14P045941","25.7887802124023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14"
"NF1","Neurofibromin 1","Protein Coding","P21359","56","GC17P031094","25.659969329834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"FN1","Fibronectin 1","Protein Coding","P02751","59","GC02M215360","25.6073532104492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN1"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","P01911","55","GC06M093834","25.3555526733398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","59","GC10P109381","25.3093109130859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"LTBP2","Latent Transforming Growth Factor Beta Binding Protein 2","Protein Coding","Q14767","52","GC14M074498","25.2822151184082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2"
"INS","Insulin","Protein Coding","P01308","56","GC11M002159","25.2163162231445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"TIMP3","TIMP Metallopeptidase Inhibitor 3","Protein Coding","P35625","52","GC22P070427","25.1574382781982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP3"
"NPPA","Natriuretic Peptide A","Protein Coding","P01160","53","GC01M014524","25.1378841400146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA"
"MIR205","MicroRNA 205","RNA Gene","","26","GC01P209432","25.0083522796631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","56","GC01M011785","24.8503456115723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"TNXB","Tenascin XB","Protein Coding","P22105","52","GC06M093808","24.7783088684082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNXB"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","62","GC03P041194","24.7587280273438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"LIMK1","LIM Domain Kinase 1","Protein Coding","P53667","57","GC07P074082","24.5142784118652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMK1"
"CTSS","Cathepsin S","Protein Coding","P25774","55","GC01M150730","24.4106101989746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSS"
"CD68","CD68 Molecule","Protein Coding","P34810","49","GC17P007579","24.3052368164063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD68"
"MIR223","MicroRNA 223","RNA Gene","","29","GC0XP066018","24.1675682067871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"DAB2IP","DAB2 Interacting Protein","Protein Coding","Q5VWQ8","48","GC09P124521","24.1599006652832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2IP"
"MPO","Myeloperoxidase","Protein Coding","P05164","61","GC17M058269","24.0469245910645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"MEG3","Maternally Expressed 3","RNA Gene","","34","GC14P116735","23.773530960083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"COL4A1","Collagen Type IV Alpha 1 Chain","Protein Coding","P02462","56","GC13M110148","23.2667350769043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A1"
