GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000204859	1	6630061	6659340	148	61	2109196	1.0986	0.13597	ZBTB48
ENSG00000162413	1	6640784	6684667	201	56	2109196	0.70983	0.2389	KLHL21
ENSG00000116273	1	6663745	6694093	131	37	2109196	0.57985	0.28101	PHF13
ENSG00000041988	1	6674926	6705646	157	41	2109196	0.33932	0.36718	THAP3
ENSG00000007923	1	6684228	6771984	414	49	2109196	-0.19511	0.57734	DNAJC11
ENSG00000171735	1	6835384	7839766	5492	359	2109196	1.5082	0.065752	CAMTA1
ENSG00000049245	1	7821329	7851492	164	42	2109196	0.5976	0.27505	VAMP3
ENSG00000049246	1	7834380	7915237	501	53	2109196	0.40494	0.34276	PER3
ENSG00000049247	1	7893143	7923572	211	49	2109196	-0.10102	0.54023	UTS2
ENSG00000049249	1	7969907	8010926	161	34	2109196	-0.34021	0.63315	TNFRSF9
ENSG00000116288	1	8004351	8055565	248	53	2109196	-0.028445	0.51135	PARK7
ENSG00000116285	1	8054464	8096368	160	35	2109196	0.082725	0.46704	ERRFI1
ENSG00000162426	1	8367886	8414227	281	46	2109196	0.30833	0.37892	SLC45A1
ENSG00000142599	1	8402457	8887702	1803	74	2109196	0.14663	0.44171	RERE
ENSG00000074800	1	8911061	8949308	165	37	2109196	-0.12419	0.54942	ENO1
ENSG00000131686	1	8995926	9045151	348	84	2109196	-0.3413	0.63356	CA6
ENSG00000197241	1	9053359	9096404	277	62	2109196	-0.6203	0.73247	SLC2A7
ENSG00000142583	1	9085166	9158537	497	54	2109196	-0.038054	0.51518	SLC2A5
ENSG00000180758	1	9150364	9199229	278	46	2109196	-0.070913	0.52827	GPR157
ENSG00000049239	1	9284834	9341396	390	62	2109196	1.6454	0.049944	H6PD
ENSG00000171621	1	9342939	9439591	773	117	2109196	2.0118	0.022119	SPSB1
ENSG00000171612	1	9589541	9655237	302	45	2109196	-1.2899	0.90145	SLC25A33
ENSG00000188807	1	9638932	9684935	209	49	2109196	-2.0267	0.97865	TMEM201
ENSG00000171608	1	9701790	9799172	564	79	2109196	0.86407	0.19378	PIK3CD
ENSG00000179840	1	9702668	9724644	125	26	2109196	1.2159	0.11202	C1orf200
ENSG00000171603	1	9779084	9894584	687	47	2109196	0.65495	0.25625	CLSTN1
ENSG00000178585	1	9898334	9980394	386	61	2109196	0.074616	0.47026	CTNNBIP1
ENSG00000162441	1	9972173	10013465	180	42	2109196	0.20222	0.41987	LZIC
ENSG00000173614	1	9993486	10055559	255	44	2109196	0.24237	0.40425	NMNAT1
ENSG00000162444	1	10047264	10086078	158	32	2109196	1.0316	0.15114	RBP7
ENSG00000130939	1	10082890	10251297	808	54	2109196	0.7304	0.23257	UBE4B
ENSG00000054523	1	10260863	10451661	1083	39	2109196	0.85373	0.19663	KIF1B
ENSG00000142657	1	10448649	10490201	230	45	2109196	0.39246	0.34736	PGD
ENSG00000175279	1	10480159	10522210	248	42	2109196	-0.47421	0.68232	APITD1
ENSG00000251503	1	10480159	10522210	248	42	2109196	-0.47421	0.68232	APITD1-CORT
ENSG00000241563	1	10499776	10521959	96	28	2109196	-0.078945	0.53146	CORT
ENSG00000160049	1	10506579	10542583	161	44	2109196	-0.59784	0.72503	DFFA
ENSG00000142655	1	10522345	10700815	814	67	2109196	0.81171	0.20848	PEX14
ENSG00000130940	1	10686661	10866707	989	168	2109196	1.1899	0.11705	CASZ1
ENSG00000175262	1	10996528	11052094	373	54	2109196	0.1035	0.45878	C1orf127
ENSG00000120948	1	11062414	11095796	161	28	2109196	0.18336	0.42726	TARDBP
ENSG00000009724	1	11076580	11117290	189	35	2109196	-0.49356	0.68919	MASP2
ENSG00000116649	1	11104641	11130081	135	23	2109196	0.45131	0.32588	SRM
ENSG00000171824	1	11116675	11169938	272	18	2109196	-0.16231	0.56447	EXOSC10
ENSG00000198793	1	11156592	11332564	766	33	2109196	0.055987	0.47768	MTOR
ENSG00000171819	1	11239398	11266038	103	19	2109196	-0.35278	0.63787	ANGPTL7
ENSG00000120942	1	11323263	11366106	159	28	2109196	0.14751	0.44136	UBIAD1
ENSG00000204624	1	11529223	11607641	380	43	2109196	0.057616	0.47703	PTCHD2
ENSG00000116661	1	11698424	11725842	149	52	2109196	0.85938	0.19507	FBXO2
ENSG00000132879	1	11704432	11733384	177	56	2109196	0.6246	0.26612	FBXO44
ENSG00000116663	1	11714181	11744411	203	50	2109196	-0.0054057	0.50216	FBXO6
ENSG00000116670	1	11724537	11761707	242	64	2109196	-0.34448	0.63476	MAD2L2
ENSG00000162490	1	11741786	11795914	311	73	2109196	0.36089	0.35909	DRAXIN
ENSG00000177674	1	11786141	11824859	208	53	2109196	0.32835	0.37132	AGTRAP
ENSG00000215910	1	11811844	11859642	351	31	2109196	0.52296	0.3005	C1orf167
ENSG00000177000	1	11835780	11876977	345	24	2109196	0.27028	0.39347	MTHFR
ENSG00000011021	1	11856207	11913201	486	39	2109196	-0.012218	0.50487	CLCN6
ENSG00000175206	1	11895766	11918402	168	35	2109196	0.30026	0.38199	NPPA
ENSG00000120937	1	11907521	11928988	141	36	2109196	1.5232	0.063853	NPPB
ENSG00000116685	1	11969648	11996485	184	40	2109196	1.6069	0.054042	KIAA2013
ENSG00000083444	1	11984262	12045595	332	41	2109196	1.7393	0.040988	PLOD1
ENSG00000116688	1	12030238	12083571	297	39	2109196	1.2226	0.11073	MFN2
ENSG00000116691	1	12069523	12102102	150	42	2109196	0.76229	0.22294	MIIP
ENSG00000120949	1	12113434	12214264	566	114	2109196	-0.37069	0.64457	TNFRSF8
ENSG00000028137	1	12217060	12279285	347	50	2109196	0.49908	0.30886	TNFRSF1B
ENSG00000048707	1	12280124	12582099	1282	65	2109196	-0.31844	0.62493	VPS13D
ENSG00000162496	1	12617939	12687737	452	85	2109196	0.51107	0.30465	DHRS3
ENSG00000204518	1	12694566	12737097	256	33	2109196	-1.0011	0.84161	AADACL4
ENSG00000188984	1	12766118	12798726	208	42	2109196	-0.5178	0.6977	AADACL3
ENSG00000157330	1	12796163	12833847	234	34	2109196	-0.032273	0.51287	C1orf158
ENSG00000116726	1	12824984	12848049	113	30	2109196	-1.0441	0.85178	PRAMEF12
ENSG00000116721	1	12841546	12866777	230	47	2109196	0.52973	0.29815	PRAMEF1
ENSG00000204513	1	12874468	12901264	207	41	2109196	0.044698	0.48217	PRAMEF11
ENSG00000179172	1	12897261	12918578	223	17	2109196	0.36978	0.35577	HNRNPCL1
ENSG00000120952	1	12906941	12931764	198	19	2109196	0.40823	0.34155	PRAMEF2
ENSG00000243073	1	12929045	12956025	68	18	2109196	-0.1811	0.57185	PRAMEF4
ENSG00000187545	1	12942727	12968101	38	16	2109196	0.1058	0.45787	PRAMEF10
ENSG00000204510	1	12966450	12990569	4	2	2109196	0.16818	0.43322	PRAMEF7
ENSG00000232423	1	12988181	13127751	11	6	2109196	0.78468	0.21632	PRAMEF6
ENSG00000204502	1	13349819	13379057	2	1	2109196	-0.1421	0.5565	PRAMEF5
ENSG00000182330	1	13376646	13400765	3	2	2109196	0.6385	0.26158	PRAMEF8
ENSG00000204491	1	13464689	13487522	3	1	2109196	1.1008	0.1355	PRAMEF18
ENSG00000204488	1	13485254	13508260	1	1	2109196	-0.55982	0.7122	PRAMEF16
ENSG00000157358	1	13631973	13658988	4	2	2109196	1.2205	0.11114	PRAMEF15
ENSG00000204480	1	13684889	13708405	12	7	2109196	-1.8715	0.96936	PRAMEF19
ENSG00000204479	1	13706092	13729089	22	13	2109196	-0.97975	0.83639	PRAMEF17
ENSG00000204478	1	13726907	13757803	9	4	2109196	-0.69928	0.75781	PRAMEF20
ENSG00000162494	1	13791445	13850543	453	90	2109196	-0.13978	0.55558	LRRC38
ENSG00000162493	1	13899960	13954452	370	80	2109196	-0.85542	0.80384	PDPN
ENSG00000116731	1	14016693	14161574	839	62	2109196	0.12722	0.44938	PRDM2
ENSG00000189337	1	14915200	15454539	3666	350	2109196	0.18192	0.42782	KAZN
ENSG00000171729	1	15469028	15556976	723	58	2109196	0.76961	0.22077	TMEM51
ENSG00000204464	1	15480840	15507813	188	34	2109196	0.14934	0.44064	C1orf195
ENSG00000142621	1	15563768	15736779	1056	122	2109196	1.5656	0.058718	FHAD1
ENSG00000142634	1	15726391	15766839	267	68	2109196	1.328	0.092097	EFHD2
ENSG00000162438	1	15754935	15785737	184	53	2109196	1.0401	0.14914	CTRC
ENSG00000142615	1	15773223	15808586	215	53	2109196	0.85248	0.19697	CELA2A
ENSG00000215704	1	15782404	15827895	296	45	2109196	0.21197	0.41606	CELA2B
ENSG00000132906	1	15807327	15863029	353	30	2109196	-0.93954	0.82627	CASP9
ENSG00000116138	1	15843308	15928874	546	30	2109196	-0.90215	0.81651	DNAJC16
ENSG00000116771	1	15888848	15921605	252	23	2109196	-1.1047	0.86535	AGMAT
ENSG00000197312	1	15933995	16005539	316	24	2109196	-0.88258	0.81127	DDI2
ENSG00000215695	1	15976364	15998217	90	16	2109196	-0.62085	0.73265	RSC1A1
ENSG00000116786	1	16000827	16071264	384	40	2109196	-0.60527	0.7275	PLEKHM2
ENSG00000162461	1	16052900	16077891	127	35	2109196	-0.16265	0.5646	SLC25A34
ENSG00000162460	1	16058917	16084477	146	37	2109196	-0.41236	0.65996	TMEM82
ENSG00000162458	1	16073102	16123089	288	45	2109196	1.4841	0.068889	FBLIM1
ENSG00000065526	1	16164359	16276955	513	56	2109196	1.2309	0.10917	SPEN
ENSG00000116809	1	16258364	16312627	241	64	2109196	0.80378	0.21076	ZBTB17
ENSG00000183888	1	16320731	16345302	234	33	2109196	-0.24167	0.59548	C1orf64
ENSG00000173641	1	16330523	16356089	233	38	2109196	-0.53701	0.70437	HSPB7
ENSG00000186510	1	16335370	16370545	368	39	2109196	-0.56238	0.71307	CLCNKA
ENSG00000184908	1	16360272	16393803	414	47	2109196	-0.47179	0.68146	CLCNKB
ENSG00000185519	1	16374264	16410127	334	38	2109196	0.042014	0.48324	FAM131C
ENSG00000142627	1	16440832	16492582	233	67	2109196	-0.027934	0.51114	EPHA2
ENSG00000142632	1	16514349	16549104	218	24	2109196	0.98374	0.16262	ARHGEF19
ENSG00000204377	1	16545368	16566038	82	17	2109196	1.5749	0.057639	C1orf134
ENSG00000132881	1	16548195	16573657	104	24	2109196	1.4954	0.067399	RSG1
ENSG00000037637	1	16563334	16688949	535	39	2109196	1.4653	0.07142	FBXO42
ENSG00000055070	1	16669070	16734640	317	36	2109196	1.1025	0.13512	SZRD1
ENSG00000187144	1	16703612	16773919	385	60	2109196	0.34871	0.36365	SPATA21
ENSG00000157191	1	16757167	16796573	222	53	2109196	0.76415	0.22239	NECAP2
ENSG00000268674	1	16855561	16876070	80	31	2109196	-0.15835	0.56291	FAM231B
ENSG00000219481	1	16878814	16950057	63	31	2109196	-0.73572	0.76905	NBPF1
ENSG00000237847	1	16989498	17010007	35	20	2109196	-0.44741	0.67271	FAM231A
ENSG00000268991	1	17050447	17070956	9	6	2109196	0.85261	0.19694	FAM231C
ENSG00000058453	1	17056768	17309474	653	65	2109196	-0.67557	0.75034	CROCC
ENSG00000117122	1	17290997	17317330	162	45	2109196	1.3791	0.083929	MFAP2
ENSG00000159363	1	17302453	17348423	217	48	2109196	1.2655	0.10284	ATP13A2
ENSG00000117118	1	17335217	17390665	307	38	2109196	0.283	0.38859	SDHB
ENSG00000117115	1	17383256	17455948	538	47	2109196	0.74504	0.22812	PADI2
ENSG00000142623	1	17521621	17582500	457	111	2109196	0.19017	0.42459	PADI1
ENSG00000142619	1	17565593	17620728	391	51	2109196	-1.4201	0.92221	PADI3
ENSG00000159339	1	17624690	17700499	681	62	2109196	0.94842	0.17146	PADI4
ENSG00000269468	1	17645507	17686070	355	39	2109196	0.79578	0.21308	AC004824.2
ENSG00000179051	1	17723256	17776220	337	43	2109196	0.47347	0.31794	RCC2
ENSG00000074964	1	17856330	18034369	1051	107	2109196	0.95617	0.16949	ARHGEF10L
ENSG00000117148	1	18071808	18163558	466	73	2109196	1.717	0.042992	ACTL8
ENSG00000117154	1	18424240	18714977	1901	243	2109196	-0.29325	0.61533	IGSF21
ENSG00000179023	1	18797424	18822478	194	39	2109196	0.5692	0.28461	KLHDC7A
ENSG00000009709	1	18947500	19085360	836	139	2109196	0.53505	0.29631	PAX7
ENSG00000179002	1	19156093	19196176	371	55	2109196	0.61131	0.2705	TAS1R2
ENSG00000255275	1	19165767	19257615	760	100	2109196	0.82525	0.20461	RP13-279N23.2
ENSG00000159423	1	19187926	19239275	428	50	2109196	1.0793	0.14022	ALDH4A1
ENSG00000169991	1	19220775	19293180	482	73	2109196	0.75845	0.22409	IFFO2
ENSG00000127481	1	19391000	19546770	666	51	2109196	1.2137	0.11243	UBR4
ENSG00000127463	1	19532158	19588046	311	39	2109196	1.5156	0.064809	EMC1
ENSG00000053372	1	19568033	19596622	201	31	2109196	1.5063	0.066	MRTO4
ENSG00000162482	1	19599052	19625744	180	19	2109196	1.9931	0.023126	AKR7A3
ENSG00000053371	1	19620459	19648640	165	46	2109196	0.52333	0.30037	AKR7A2
ENSG00000040487	1	19628820	19665794	266	39	2109196	0.14834	0.44104	PQLC2
ENSG00000077549	1	19655267	19822066	1108	58	2109196	0.46116	0.32234	CAPZB
ENSG00000270136	1	19913473	19994549	504	53	2109196	0.52833	0.29864	MINOS1-NBL1
ENSG00000173436	1	19913477	19966314	324	33	2109196	0.1823	0.42767	MINOS1
ENSG00000158747	1	19957048	19994945	255	54	2109196	0.7941	0.21357	NBL1
ENSG00000158748	1	19981780	20016055	211	40	2109196	1.3285	0.092003	HTR6
ENSG00000162542	1	19998706	20136438	844	115	2109196	1.288	0.098865	TMCO4
ENSG00000178828	1	20130523	20151771	160	44	2109196	-0.058381	0.52328	RNF186
ENSG00000169914	1	20199006	20249438	253	40	2109196	1.6511	0.049358	OTUD3
ENSG00000188784	1	20236502	20260110	158	42	2109196	1.695	0.045036	PLA2G2E
ENSG00000188257	1	20291925	20316932	171	49	2109196	0.78291	0.21684	PLA2G2A
ENSG00000127472	1	20344672	20427683	477	56	2109196	-0.28363	0.61165	PLA2G5
ENSG00000117215	1	20428432	20456050	154	56	2109196	-0.64841	0.74164	PLA2G2D
ENSG00000158786	1	20455819	20486879	146	65	2109196	-0.41296	0.66018	PLA2G2F
ENSG00000187980	1	20477746	20513917	174	53	2109196	0.0066855	0.49733	PLA2G2C
ENSG00000162543	1	20502578	20532541	135	38	2109196	0.22673	0.41032	UBXN10
ENSG00000158816	1	20607412	20691387	531	53	2109196	-0.39794	0.65466	VWA5B1
ENSG00000162545	1	20798884	20822713	110	34	2109196	0.061562	0.47546	CAMK2N1
ENSG00000090432	1	20815943	20844654	156	42	2109196	0.46272	0.32178	MUL1
ENSG00000183114	1	20868932	20891512	162	41	2109196	1.4906	0.068038	FAM43B
ENSG00000158825	1	20905441	20955401	390	38	2109196	1.819	0.034454	CDA
ENSG00000158828	1	20949948	20988004	243	34	2109196	0.71689	0.23672	PINK1
ENSG00000244038	1	20968270	20998000	193	35	2109196	0.67017	0.25137	DDOST
ENSG00000117245	1	20980507	21054510	485	100	2109196	0.6133	0.26984	KIF17
ENSG00000189410	1	21036225	21069330	186	48	2109196	0.55729	0.28866	SH2D5
ENSG00000127483	1	21059154	21123816	261	32	2109196	0.19045	0.42448	HP1BP3
ENSG00000075151	1	21122963	21513377	1571	62	2109196	0.52199	0.30084	EIF4G3
ENSG00000117298	1	21533740	21681997	855	101	2109196	0.87809	0.18995	ECE1
ENSG00000142794	1	21756621	21821498	458	39	2109196	0.70598	0.2401	NBPF3
ENSG00000162551	1	21825858	21914905	637	65	2109196	-1.4491	0.92635	ALPL
ENSG00000076864	1	21912708	22005801	583	87	2109196	-1.495	0.93255	RAP1GAP
ENSG00000090686	1	21994791	22120099	745	70	2109196	0.1959	0.42234	USP48
ENSG00000187942	1	22128758	22161714	218	75	2109196	0.43441	0.332	LDLRAD2
ENSG00000142798	1	22138738	22273790	826	77	2109196	-0.24542	0.59693	HSPG2
ENSG00000219073	1	22293514	22335135	523	34	2109196	0.46419	0.32126	CELA3B
ENSG00000142789	1	22318149	22349032	268	33	2109196	0.74389	0.22847	CELA3A
ENSG00000070831	1	22369120	22429437	336	45	2109196	0.74193	0.22906	CDC42
ENSG00000162552	1	22433798	22480462	277	49	2109196	0.7127	0.23802	WNT4
ENSG00000184677	1	22768344	22867650	393	54	2109196	-0.98482	0.83764	ZBTB40
ENSG00000070886	1	22880057	22940087	409	57	2109196	-0.17618	0.56992	EPHA8
ENSG00000173372	1	22952999	22976101	139	24	2109196	0.35046	0.363	C1QA
ENSG00000159189	1	22960123	22984603	156	23	2109196	0.25594	0.399	C1QC
ENSG00000173369	1	22969255	22998031	168	28	2109196	0.1125	0.45521	C1QB
ENSG00000133216	1	23027332	23251818	1176	147	2109196	-0.32478	0.62733	EPHB2
ENSG00000215906	1	23269536	23301831	164	39	2109196	0.11103	0.4558	LACTBL1
ENSG00000227868	1	23327327	23352343	91	27	2109196	-0.46159	0.67781	C1orf234
ENSG00000004487	1	23335941	23420182	266	39	2109196	-0.0056024	0.50224	KDM1A
ENSG00000169641	1	23400516	23514301	441	51	2109196	0.70193	0.24136	LUZP1
ENSG00000179546	1	23506993	23531222	151	19	2109196	0.84967	0.19775	HTR1D
ENSG00000125944	1	23620264	23680829	255	40	2109196	-0.17071	0.56777	HNRNPR
ENSG00000125945	1	23675941	23705935	135	29	2109196	0.21483	0.41495	ZNF436
ENSG00000249087	1	23685490	23708332	93	22	2109196	0.1617	0.43577	C1orf213
ENSG00000204219	1	23697554	23761233	348	53	2109196	1.4253	0.07704	TCEA3
ENSG00000088280	1	23745056	23821061	386	41	2109196	0.66934	0.25164	ASAP3
ENSG00000007968	1	23822922	23867712	215	49	2109196	0.36032	0.3593	E2F2
ENSG00000117318	1	23874409	23896285	107	40	2109196	0.4698	0.31925	ID3
ENSG00000197880	1	23897985	23977058	369	87	2109196	0.55568	0.28922	MDS2
ENSG00000142676	1	24008269	24032915	137	34	2109196	2.0035	0.022562	RPL11
ENSG00000011007	1	24059645	24098549	171	40	2109196	0.39114	0.34785	TCEB3
ENSG00000057757	1	24094895	24124722	104	53	2109196	0.36564	0.35732	PITHD1
ENSG00000011009	1	24107460	24132029	88	49	2109196	0.83103	0.20298	LYPLA2
ENSG00000117308	1	24112089	24137271	80	38	2109196	0.76843	0.22112	GALE
ENSG00000117305	1	24118375	24175110	201	43	2109196	0.92969	0.17627	HMGCL
ENSG00000179163	1	24161567	24204784	252	30	2109196	0.50871	0.30548	FUCA1
ENSG00000188822	1	24187016	24295549	529	46	2109196	0.74483	0.22819	CNR2
ENSG00000189266	1	24275599	24299952	16	6	2109196	-0.25176	0.59939	PNRC2
ENSG00000188529	1	24281294	24317417	25	9	2109196	-0.71676	0.76324	SRSF10
ENSG00000142661	1	24372525	24448665	538	62	2109196	-0.065402	0.52607	MYOM3
