GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels (CMS)	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	9E-11	10.0457574905607	(L_LDL_FC)	0.08466643	NR unit decrease	Illumina [609262]	N
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels (CMS)	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	2E-10	9.69897000433602	(IDL_P)	0.08051215	NR unit decrease	Illumina [609262]	N
2	rs646776	1	109817192	rs7528419	2020-03-23	31900758	Han X	2020-01-03	Eur J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/31900758	Using Mendelian randomization to evaluate the causal relationship between serum C-reactive protein levels and age-related macular degeneration.	C-reactive protein levels	418,642 British ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.776985	3E-12	11.5228787452803		0.0170806	[0.012-0.022] unit decrease	NR [NR]	N
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels (CMS)	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	5E-11	10.301029995664	(EstC)	0.06966631	NR unit decrease	Illumina [609262]	N
2	rs646776	1	109817192	rs7528419	2019-02-14	29507422	Hoffmann TJ	2018-03-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29507422	A large electronic-health-record-based genome-wide study of serum lipids.	High density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.781	2E-15	14.698970004336	(EA)	0.038	unit decrease	Affymetrix [at least 7091467] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-02-14	29507422	Hoffmann TJ	2018-03-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29507422	A large electronic-health-record-based genome-wide study of serum lipids.	High density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	6E-15	14.2218487496164		0.034	unit decrease	Affymetrix [at least 7091467] (imputed)	N
2	rs646776	1	109817192	rs7528419	2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease	10,874 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	0.17701	8E-9	8.09691001300806		0.4227	[-0.5965-1.4419] unit decrease	Affymetrix, Illumina [13572687] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-02-14	29507422	Hoffmann TJ	2018-03-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29507422	A large electronic-health-record-based genome-wide study of serum lipids.	Low density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.781	3E-201	200.52287874528	(EA)	0.18	unit increase	Affymetrix [at least 7091467] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-02-14	29507422	Hoffmann TJ	2018-03-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29507422	A large electronic-health-record-based genome-wide study of serum lipids.	Low density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.797	1E-28	28	(Hispanic)	0.208	unit increase	Affymetrix [at least 7091467] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-02-14	29507422	Hoffmann TJ	2018-03-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29507422	A large electronic-health-record-based genome-wide study of serum lipids.	Low density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.933	2E-6	5.69897000433602	(East Asian)	0.16	unit increase	Affymetrix [at least 7091467] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-02-14	29507422	Hoffmann TJ	2018-03-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29507422	A large electronic-health-record-based genome-wide study of serum lipids.	Low density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.748	2E-13	12.698970004336	(AA)	0.218	unit increase	Affymetrix [at least 7091467] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-02-14	29507422	Hoffmann TJ	2018-03-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29507422	A large electronic-health-record-based genome-wide study of serum lipids.	Low density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	2E-245	244.698970004336		0.183	unit increase	Affymetrix [at least 7091467] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	5E-8	7.30102999566398	(EstC)	0.0804521	NR unit decrease	Illumina [609262]	N
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	2E-8	7.69897000433602	(IDL_P)	0.083193876	NR unit decrease	Illumina [609262]	N
2	rs646776	1	109817192	rs7528419	2019-03-12	30670697	Kilpelainen TO	2019-01-22	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30670697	Multi-ancestry study of blood lipid levels identifies four loci interacting with physical activity.	LDL cholesterol x physical activity interaction (2df test)	7,260 African American inactive individuals, 12,761 African American active individuals, 2,740 Asian ancestry inactive individuals, 3,615 Asian ancestry active individuals, 22,378 European ancestry inactive individuals, 55,310 European ancestry active individuals, 2,163 Hispanic or Latin American inactive individuals, 3,461 Hispanic or Latin American active individuals	571 African American inactive individuals, 1,521 African American active individuals, 1,217 South African Black ancestry inactive individuals, 389 South African Black ancestry active individuals, 2,495 East Asian ancestry inactive individuals, 1,947 East Asian ancestry active individuals,  724 South Asian ancestry inactive individuals, 1,425 South Asian ancestry active individuals,  33,796 European ancestry inactive individuals, 50,812 European ancestry active individuals, 2,578 Hispanic inactive individuals, 8,661 Hispanic active individuals	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.7782	2E-309	308.698970004336		NA		Affymetrix, Illumina [at least 2500000] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	6E-9	8.22184874961636	(M_LDL_CE)	0.08638041	NR unit decrease	Illumina [609262]	N
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	8E-9	8.09691001300806	(L_LDL_FC)	0.08534177	NR unit decrease	Illumina [609262]	N
2	rs646776	1	109817192	rs7528419	2020-04-16	31969989	Oni-Orisan A	2020-01-16	NPJ Genom Med	www.ncbi.nlm.nih.gov/pubmed/31969989	The impact of adjusting for baseline in pharmacogenomic genome-wide association studies of quantitative change.	Response to statins (LDL cholesterol percent change)	28,616 European ancestry individuals, 1,205 African ancestry individuals, 2,350 East Asian ancestry individuals, 2,703 Hispanic/Latino individuals	NA	1p13.3	SORT1	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	0.198	4E-6	5.39794000867204		0.046	[0.026-0.066] unit decrease	Affymetrix [13250765] (imputed)	N
2	rs646776	1	109817192	rs7528419	2020-03-09	31969989	Oni-Orisan A	2020-01-16	NPJ Genom Med	www.ncbi.nlm.nih.gov/pubmed/31969989	The impact of adjusting for baseline in pharmacogenomic genome-wide association studies of quantitative change.	Low density lipoprotein cholesterol levels	28,616 European ancestry individuals, 1,205 African ancestry individuals, 2,350 East Asian ancestry individuals, 2,703 Hispanic/Latino individuals	NA	1p13.3	SORT1	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	0.198	2E-54	53.698970004336		0.035	[0.031-0.039] unit decrease	Affymetrix [13250765] (imputed)	N
2	rs646776	1	109817192	rs7528419	2020-07-27	31969989	Oni-Orisan A	2020-01-16	NPJ Genom Med	www.ncbi.nlm.nih.gov/pubmed/31969989	The impact of adjusting for baseline in pharmacogenomic genome-wide association studies of quantitative change.	Response to statins (LDL cholesterol change)	28,616 European ancestry individuals, 1,205 African ancestry individuals, 2,350 East Asian ancestry individuals, 2,703 Hispanic/Latino individuals	NA	1p13.3	SORT1	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	0.198	1E-17	17		0.019	[0.015-0.023] unit decrease	Affymetrix [13250765] (imputed)	N
2	rs646776	1	109817192	rs7528419	2020-07-08	32059762	Manousaki D	2020-02-05	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/32059762	Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.	Serum 25-Hydroxyvitamin D levels	443,734 European ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	0.224958	2E-16	15.698970004336		0.019031	[0.014-0.024] unit increase	Affymetrix [16668957] (imputed)	N
2	rs646776	1	109817192	rs7528419	2020-06-25	27532455	Sun W	2016-08-17	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27532455	Common Genetic Polymorphisms Influence Blood Biomarker Measurements in COPD.	Blood protein levels	1,340 European ancestry individuals	NA	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0		7E-11	10.1549019599857	(SORT1)	0.1921	[NR] unit increase	Illumina [NR]	N
2	rs646776	1	109817192	rs7528419	2020-12-24	32492067	Ruffieux H	2020-06-03	PLoS Comput Biol	www.ncbi.nlm.nih.gov/pubmed/32492067	A fully joint Bayesian quantitative trait locus mapping of human protein abundance in plasma.	Protein quantitative trait loci	394 European ancestry individuals	548 European ancestry individuals	1p13.3	NR	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	9E-32	31.0457574905607	(GRN)	NA		Illumina [~ 4000000] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-07-05	30698716	de Vries PS	2019-01-29	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/30698716	Multi-Ancestry Genome-Wide Association Study of Lipid Levels Incorporating Gene-Alcohol Interactions.	HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	56,505 European ancestry current drinkers, 9,870 African American current drinkers, 2,491 Asian ancestry current drinkers, 2,528 Hispanic current drinkers, 33,388 European ancestry non-drinkers, 11,119 African American non-drinkers, 9,959 Asian ancestry non-drinkers, 1,466 Hispanic non-drinkers	107,548 European ancestry current drinkers, 2,028 African American or Afro-Caribbean current drinkers, 41,240 Asian ancestry current drinkers, 6,622 Hispanic individuals, 1,984 Brazilian ancestry individuals, 29,438 European ancestry non-drinkers, 2,447 African American or Afro-Caribbean non-drinkers, 67,191 Asian ancestry non-drinkers, 7,092 Hispanic non-drinkers, 1,668 Brazilian ancestry non-drinkers	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	3E-32	31.5228787452803		NA		Affymetrix, Illumina [NR] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-07-05	30698716	de Vries PS	2019-01-29	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/30698716	Multi-Ancestry Genome-Wide Association Study of Lipid Levels Incorporating Gene-Alcohol Interactions.	LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	56,505 European ancestry current drinkers, 9,870 African American current drinkers, 2,491 Asian ancestry current drinkers, 2,528 Hispanic current drinkers, 33,388 European ancestry non-drinkers, 11,119 African American non-drinkers, 9,959 Asian ancestry non-drinkers, 1,466 Hispanic non-drinkers	107,548 European ancestry current drinkers, 2,028 African American or Afro-Caribbean current drinkers, 41,240 Asian ancestry current drinkers, 6,622 Hispanic individuals, 1,984 Brazilian ancestry individuals, 29,438 European ancestry non-drinkers, 2,447 African American or Afro-Caribbean non-drinkers, 67,191 Asian ancestry non-drinkers, 7,092 Hispanic non-drinkers, 1,668 Brazilian ancestry non-drinkers	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	5E-213	212.301029995664	(EA)	NA		Affymetrix, Illumina [NR] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-07-05	30698716	de Vries PS	2019-01-29	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/30698716	Multi-Ancestry Genome-Wide Association Study of Lipid Levels Incorporating Gene-Alcohol Interactions.	LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	56,505 European ancestry current drinkers, 9,870 African American current drinkers, 2,491 Asian ancestry current drinkers, 2,528 Hispanic current drinkers, 33,388 European ancestry non-drinkers, 11,119 African American non-drinkers, 9,959 Asian ancestry non-drinkers, 1,466 Hispanic non-drinkers	107,548 European ancestry current drinkers, 2,028 African American or Afro-Caribbean current drinkers, 41,240 Asian ancestry current drinkers, 6,622 Hispanic individuals, 1,984 Brazilian ancestry individuals, 29,438 European ancestry non-drinkers, 2,447 African American or Afro-Caribbean non-drinkers, 67,191 Asian ancestry non-drinkers, 7,092 Hispanic non-drinkers, 1,668 Brazilian ancestry non-drinkers	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	6E-34	33.2218487496164	(AA)	NA		Affymetrix, Illumina [NR] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-07-05	30698716	de Vries PS	2019-01-29	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/30698716	Multi-Ancestry Genome-Wide Association Study of Lipid Levels Incorporating Gene-Alcohol Interactions.	LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	56,505 European ancestry current drinkers, 9,870 African American current drinkers, 2,491 Asian ancestry current drinkers, 2,528 Hispanic current drinkers, 33,388 European ancestry non-drinkers, 11,119 African American non-drinkers, 9,959 Asian ancestry non-drinkers, 1,466 Hispanic non-drinkers	107,548 European ancestry current drinkers, 2,028 African American or Afro-Caribbean current drinkers, 41,240 Asian ancestry current drinkers, 6,622 Hispanic individuals, 1,984 Brazilian ancestry individuals, 29,438 European ancestry non-drinkers, 2,447 African American or Afro-Caribbean non-drinkers, 67,191 Asian ancestry non-drinkers, 7,092 Hispanic non-drinkers, 1,668 Brazilian ancestry non-drinkers	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	2E-273	272.698970004336		NA		Affymetrix, Illumina [NR] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-07-05	30698716	de Vries PS	2019-01-29	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/30698716	Multi-Ancestry Genome-Wide Association Study of Lipid Levels Incorporating Gene-Alcohol Interactions.	LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	56,505 European ancestry current drinkers, 9,870 African American current drinkers, 2,491 Asian ancestry current drinkers, 2,528 Hispanic current drinkers, 33,388 European ancestry non-drinkers, 11,119 African American non-drinkers, 9,959 Asian ancestry non-drinkers, 1,466 Hispanic non-drinkers	107,548 European ancestry current drinkers, 2,028 African American or Afro-Caribbean current drinkers, 41,240 Asian ancestry current drinkers, 6,622 Hispanic individuals, 1,984 Brazilian ancestry individuals, 29,438 European ancestry non-drinkers, 2,447 African American or Afro-Caribbean non-drinkers, 67,191 Asian ancestry non-drinkers, 7,092 Hispanic non-drinkers, 1,668 Brazilian ancestry non-drinkers	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	7E-51	50.1549019599857	(Asian)	NA		Affymetrix, Illumina [NR] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-07-05	30698716	de Vries PS	2019-01-29	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/30698716	Multi-Ancestry Genome-Wide Association Study of Lipid Levels Incorporating Gene-Alcohol Interactions.	LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	56,505 European ancestry current drinkers, 9,870 African American current drinkers, 2,491 Asian ancestry current drinkers, 2,528 Hispanic current drinkers, 33,388 European ancestry non-drinkers, 11,119 African American non-drinkers, 9,959 Asian ancestry non-drinkers, 1,466 Hispanic non-drinkers	107,548 European ancestry current drinkers, 2,028 African American or Afro-Caribbean current drinkers, 41,240 Asian ancestry current drinkers, 6,622 Hispanic individuals, 1,984 Brazilian ancestry individuals, 29,438 European ancestry non-drinkers, 2,447 African American or Afro-Caribbean non-drinkers, 67,191 Asian ancestry non-drinkers, 7,092 Hispanic non-drinkers, 1,668 Brazilian ancestry non-drinkers	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	5E-50	49.301029995664	(H)	NA		Affymetrix, Illumina [NR] (imputed)	N
